device_id,timestamp,temp_c,moisture,tds_ppm,water_dist_cm,water_low,salinity_ohm,salinity_type,water_temp_c,raw_json
esp32_dht22,347049,23.5,27.2,0.0,7.6,False,-1.0,Seawater,29.31,"{""device_id"": ""esp32_dht22"", ""timestamp"": ""347049"", ""readings"": {""temp_c"": 23.5, ""moisture"": 27.2, ""tds_ppm"": 0.0, ""water_dist_cm"": 7.6, ""water_low"": false, ""salinity_ohm"": -1.0, ""salinity_type"": ""Seawater"", ""water_temp_c"": 29.31}}"
esp32_dht22,360510,23.5,27.4,0.0,7.2,False,-1.0,Seawater,24.19,"{""device_id"": ""esp32_dht22"", ""timestamp"": ""360510"", ""readings"": {""temp_c"": 23.5, ""moisture"": 27.4, ""tds_ppm"": 0.0, ""water_dist_cm"": 7.2, ""water_low"": false, ""salinity_ohm"": -1.0, ""salinity_type"": ""Seawater"", ""water_temp_c"": 24.19}}"
esp32_dht22,373982,23.5,27.3,0.0,191.7,True,-1.0,Seawater,21.44,"{""device_id"": ""esp32_dht22"", ""timestamp"": ""373982"", ""readings"": {""temp_c"": 23.5, ""moisture"": 27.3, ""tds_ppm"": 0.0, ""water_dist_cm"": 191.7, ""water_low"": true, ""salinity_ohm"": -1.0, ""salinity_type"": ""Seawater"", ""water_temp_c"": 21.44}}"
esp32_dht22,387478,23.5,27.2,0.0,191.8,True,-1.0,Seawater,20.56,"{""device_id"": ""esp32_dht22"", ""timestamp"": ""387478"", ""readings"": {""temp_c"": 23.5, ""moisture"": 27.2, ""tds_ppm"": 0.0, ""water_dist_cm"": 191.8, ""water_low"": true, ""salinity_ohm"": -1.0, ""salinity_type"": ""Seawater"", ""water_temp_c"": 20.56}}"
esp32_dht22,400972,23.5,27.0,0.0,191.8,True,-1.0,Seawater,20.25,"{""device_id"": ""esp32_dht22"", ""timestamp"": ""400972"", ""readings"": {""temp_c"": 23.5, ""moisture"": 27.0, ""tds_ppm"": 0.0, ""water_dist_cm"": 191.8, ""water_low"": true, ""salinity_ohm"": -1.0, ""salinity_type"": ""Seawater"", ""water_temp_c"": 20.25}}"
esp32_dht22,414457,23.5,26.9,0.0,191.8,True,-1.0,Seawater,20.19,"{""device_id"": ""esp32_dht22"", ""timestamp"": ""414457"", ""readings"": {""temp_c"": 23.5, ""moisture"": 26.9, ""tds_ppm"": 0.0, ""water_dist_cm"": 191.8, ""water_low"": true, ""salinity_ohm"": -1.0, ""salinity_type"": ""Seawater"", ""water_temp_c"": 20.19}}"
esp32_dht22,427944,23.4,26.7,0.0,191.8,True,-1.0,Seawater,20.12,"{""device_id"": ""esp32_dht22"", ""timestamp"": ""427944"", ""readings"": {""temp_c"": 23.4, ""moisture"": 26.7, ""tds_ppm"": 0.0, ""water_dist_cm"": 191.8, ""water_low"": true, ""salinity_ohm"": -1.0, ""salinity_type"": ""Seawater"", ""water_temp_c"": 20.12}}"
esp32_dht22,441477,23.4,26.6,0.0,191.8,True,-1.0,Seawater,20.12,"{""device_id"": ""esp32_dht22"", ""timestamp"": ""441477"", ""readings"": {""temp_c"": 23.4, ""moisture"": 26.6, ""tds_ppm"": 0.0, ""water_dist_cm"": 191.8, ""water_low"": true, ""salinity_ohm"": -1.0, ""salinity_type"": ""Seawater"", ""water_temp_c"": 20.12}}"
esp32_dht22,454994,23.4,26.5,0.0,191.8,True,-1.0,Seawater,20.12,"{""device_id"": ""esp32_dht22"", ""timestamp"": ""454994"", ""readings"": {""temp_c"": 23.4, ""moisture"": 26.5, ""tds_ppm"": 0.0, ""water_dist_cm"": 191.8, ""water_low"": true, ""salinity_ohm"": -1.0, ""salinity_type"": ""Seawater"", ""water_temp_c"": 20.12}}"
esp32_dht22,468524,23.4,26.6,0.0,191.8,True,-1.0,Seawater,20.12,"{""device_id"": ""esp32_dht22"", ""timestamp"": ""468524"", ""readings"": {""temp_c"": 23.4, ""moisture"": 26.6, ""tds_ppm"": 0.0, ""water_dist_cm"": 191.8, ""water_low"": true, ""salinity_ohm"": -1.0, ""salinity_type"": ""Seawater"", ""water_temp_c"": 20.12}}"
